episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,finished_at,pid,agent
1,10,-0.1581069540694411,0.0020898684120803,0.0,-1.581069540694411,0.0208986841208034,0.0,1760605301.721446,pid_34512,KL001
1,13,-0.0697657813779813,0.0176575032309737,0.0,-0.9069551579137576,0.229547542002659,0.0,1760605301.7329876,pid_23176,KL001
1,12,-0.1762695833713305,-0.0019295687161963,0.0,-2.115235000455966,-0.0231548245943558,0.0,1760605301.7470589,pid_9164,KL001
1,15,-0.1174790183625244,0.0088821038318026,-0.1333333333333333,-1.7621852754378666,0.13323155747704,-2.0,1760605301.7639914,pid_6740,KL001
1,15,-0.1577794572470784,0.0022780126866594,-0.1333333333333333,-2.3666918587061767,0.0341701902998911,-2.0,1760605301.7639914,pid_6740,KL002
1,12,-0.1970239532094192,-0.0068047515348573,0.0,-2.364287438513031,-0.0816570184182886,0.0,1760605301.7735534,pid_34528,KL002
1,17,-0.154369127824818,0.0021378262158432,0.0,-2.624275173021907,0.0363430456693344,0.0,1760605301.7735534,pid_7696,KL004
1,16,-0.0969333667054339,0.0121348477476633,0.0,-1.5509338672869426,0.1941575639626131,0.0,1760605301.778561,pid_6740,KL005
1,13,-0.2032826027071537,-0.0066330154980516,0.0,-2.642673835192999,-0.0862292014746716,0.0,1760605301.7876058,pid_34528,KL006
1,18,-0.1872758239998844,-0.0029896803536946,0.0,-3.37096483199792,-0.0538142463665028,0.0,1760605301.8146553,pid_22724,KL005
1,19,-0.0880255358672964,0.0135764517864435,0.0,-1.6724851814786326,0.257952583942427,0.0,1760605301.823926,pid_23176,KL003
1,19,-0.1481474988247763,0.0025993715596373,0.0,-2.814802477670749,0.0493880596331088,0.0,1760605301.8266308,pid_34292,KL003
1,16,-0.202361252354872,-0.0076102297919217,0.0,-3.2377800376779526,-0.1217636766707484,0.0,1760605301.829629,pid_34528,KL005
1,17,-0.1147313804299967,0.0079253043223805,0.0,-1.950433467309944,0.1347301734804693,0.0,1760605301.8328972,pid_9164,KL006
1,15,-0.0732588226057135,0.0172601892821625,0.0,-1.0988823390857023,0.2589028392324388,0.0,1760605301.8490694,pid_16860,KL006
1,21,-0.0507209589164005,0.0197251591308108,0.0,-1.0651401372444118,0.4142283417470283,0.0,1760605301.8566856,pid_22724,KL004
1,22,-0.1774615688823555,-0.00240722773308,-0.0909090909090909,-3.904154515411823,-0.0529590101277612,-2.0,1760605301.8671634,pid_23176,KL004
1,20,-0.1650042438700722,-0.0005958404532363,0.0,-3.300084877401444,-0.0119168090647266,0.0,1760605301.8691623,pid_32504,KL006
1,25,-0.2342575677760256,-0.0129080950700355,0.0,-5.856439194400641,-0.32270237675089,0.0,1760605301.8809202,pid_7696,KL003
1,21,-0.1235822561745102,0.0066916910557647,0.0,-2.595227379664715,0.1405255121710597,0.0,1760605301.8834524,pid_32504,KL003
1,20,-0.0949237051004108,0.0133372723810414,0.0,-1.898474102008216,0.2667454476208287,0.0,1760605301.887954,pid_27768,KL003
1,24,-0.2122137319682069,-0.0066789028486695,0.0,-5.093129567236965,-0.1602936683680701,0.0,1760605301.899659,pid_34292,KL001
1,19,-0.0964392898303662,0.0121526151707236,0.0,-1.832346506776958,0.2308996882437499,0.0,1760605301.9086218,pid_16860,KL004
1,23,-0.0536758972745092,0.0193947834014086,0.0,-1.2345456373137125,0.4460800182323992,0.0,1760605301.910586,pid_25072,KL006
1,23,-0.0615847296685653,0.0178188657964863,0.0,-1.4164487823770036,0.4098339133191865,0.0,1760605301.9153745,pid_7456,KL001
1,26,-0.1374609414098579,0.0051180080537025,0.0,-3.573984476656307,0.1330682093962656,0.0,1760605301.934595,pid_6740,KL003
1,21,-0.1020434029926048,0.0110404446708784,0.0,-2.142911462844703,0.2318493380884484,0.0,1760605301.9363062,pid_16860,KL003
1,22,-0.1968084442156595,-0.0071064823404254,0.0,-4.329785772744509,-0.1563426114893594,0.0,1760605301.9384942,pid_3208,KL004
1,24,-0.1784263608823303,-0.0026679550701718,0.0,-4.282232661175928,-0.0640309216841239,0.0,1760605301.940495,pid_34528,KL001
1,24,-0.1872073593045501,-0.0042949057518876,0.0,-4.492976623309203,-0.1030777380453036,0.0,1760605301.940495,pid_34528,KL003
1,27,-0.2478471919858332,-0.0125947350309008,-0.074074074074074,-6.691874183617496,-0.3400578458343236,-2.0,1760605301.941838,pid_22724,KL001
1,23,-0.0816285259419501,0.0109212322165366,0.0,-1.877456096664854,0.2511883409803432,0.0,1760605301.9453757,pid_29240,KL002
1,25,-0.199335563253107,-0.0066643864343665,0.0,-4.983389081327675,-0.1666096608591638,0.0,1760605301.9473872,pid_30468,KL004
1,26,-0.1661645143385735,-0.0004087140485958,0.0,-4.320277372802912,-0.0106265652634909,0.0,1760605301.9536593,pid_25072,KL005
1,25,-0.0782750828734713,0.0158790042481127,0.0,-1.9568770718367825,0.3969751062028186,0.0,1760605301.9774866,pid_34512,KL003
1,28,-0.1757002276985123,-0.0025700250466637,0.0,-4.919606375558344,-0.0719607013065851,0.0,1760605301.9814863,pid_25072,KL001
1,25,-0.1899014163966675,-0.0051353672005274,-0.04,-4.747535409916689,-0.1283841800131867,-1.0,1760605301.9829931,pid_29240,KL003
1,29,-0.1483251023223245,0.003115138015742,0.0,-4.301427967347412,0.0903390024565208,0.0,1760605301.9986084,pid_32504,KL002
1,26,-0.1930715261538029,-0.0048092779478997,-0.0384615384615384,-5.019859679998876,-0.1250412266453928,-1.0,1760605301.9999952,pid_29240,KL001
1,31,-0.2297675904867863,-0.0121668079096299,0.0,-7.122795305090376,-0.3771710451985296,0.0,1760605301.9999952,pid_6740,KL006
1,26,-0.247884058584208,-0.0147777425702788,0.0,-6.444985523189409,-0.3842213068272503,0.0,1760605302.0175407,pid_16860,KL001
1,31,-0.1770576360408164,-0.0034772347762019,0.0,-5.4887867172653095,-0.1077942780622608,0.0,1760605302.020511,pid_25072,KL003
1,27,-0.0835453004448572,0.0143065015766201,0.0,-2.2557231120111467,0.3862755425687446,0.0,1760605302.027255,pid_27768,KL004
1,35,-0.2140140969031966,-0.0097638065495661,0.0,-7.49049339161188,-0.3417332292348147,0.0,1760605302.028259,pid_7696,KL006
1,28,-0.1805905050586698,-0.0021916874083839,0.0,-5.056534141642756,-0.0613672474347516,0.0,1760605302.0312536,pid_9164,KL005
1,28,-0.105611044636682,0.0095071916574207,0.0,-2.9571092498270963,0.2662013664077798,0.0,1760605302.039797,pid_3208,KL005
1,29,-0.2211747909879601,-0.010886267630611,0.0,-6.4140689386508445,-0.3157017612877207,0.0,1760605302.0466487,pid_9164,KL003
1,29,-0.2215907947017625,-0.0097613646312199,-0.0689655172413793,-6.426133046351113,-0.2830795743053784,-2.0,1760605302.0544307,pid_3208,KL002
1,36,-0.152410361623276,0.0020718298460574,-0.0555555555555555,-5.486773018437937,0.0745858744580694,-2.0,1760605302.0578372,pid_23176,KL005
1,32,-0.2175778570203193,-0.0069154354310959,0.0,-6.962491424650218,-0.2212939337950693,0.0,1760605302.0697336,pid_30468,KL002
2,6,-0.1487737016948543,0.0044278744624346,0.0,-0.8926422101691263,0.0265672467746077,0.0,1760605302.0718834,pid_34528,KL003
1,32,-0.1106162565496901,0.0096419095725724,0.0,-3.539720209590085,0.3085411063223197,0.0,1760605302.0776937,pid_29240,KL006
1,35,-0.1904903218244391,-0.0042784747029649,0.0,-6.66716126385537,-0.1497466146037737,0.0,1760605302.0871458,pid_32504,KL005
1,32,-0.0945996435193924,0.0122529837751553,0.0,-3.027188592620558,0.392095480804972,0.0,1760605302.0931594,pid_31192,KL001
1,32,-0.2064855733667991,-0.0041471669452746,0.0,-6.607538347737573,-0.1327093422487893,0.0,1760605302.10008,pid_11628,KL005
1,33,-0.2104487397212872,-0.0076549223301449,0.0,-6.944808410802479,-0.2526124368947824,0.0,1760605302.1077473,pid_31192,KL003
2,9,-0.1490945869912963,0.0031829683700331,0.0,-1.3418512829216669,0.0286467153302983,0.0,1760605302.128278,pid_34528,KL006
1,35,-0.1703963944838609,-0.0020874613483689,-0.0571428571428571,-5.963873806935132,-0.0730611471929122,-2.0,1760605302.1366022,pid_3208,KL003
1,36,-0.1816224846285369,-0.0038727028803366,0.0,-6.538409446627329,-0.1394173036921211,0.0,1760605302.14282,pid_34512,KL006
