episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,finished_at
37,38,-0.0516521722372975,0.15136392544023866,0.0,-1.9627825450173049,5.7518291667290695,0.0,1760949060.9885776
38,3,-0.19347061995858775,0.00280381036299069,0.0,-0.5804118598757633,0.00841143108897207,0.0,1760949061.1657917
39,16,-0.06964734204816307,0.018888929111301665,0.0,-1.1143574727706091,0.30222286578082663,0.0,1760949062.0406444
40,25,-0.05749153437494799,0.019852409044230853,0.0,-1.4372883593736998,0.4963102261057713,0.0,1760949108.674072
41,7,-0.06883496214765941,0.019602399705553174,0.0,-0.4818447350336159,0.13721679793887223,0.0,1760949109.1369913
42,11,-0.10092149072164674,0.014207261660898717,0.0,-1.1101363979381142,0.15627987826988587,0.0,1760949109.8287888
43,24,-0.05334180760564564,0.020064729510982926,0.0,-1.2802033825354955,0.4815535082635902,0.0,1760949110.549099
44,11,-0.03704761993003321,0.021154106297301804,0.0,-0.4075238192303653,0.23269516927031986,0.0,1760949110.975574
45,11,-0.08007371450070823,0.018530855439767263,0.0,-0.8808108595077905,0.2038394098374399,0.0,1760949111.63629
46,30,-0.04870580601494257,0.020976072879335058,0.0,-1.4611741804482772,0.6292821863800517,0.0,1760949158.6783624
47,34,-0.04543365981045175,0.02128832607048696,0.0,-1.5447444335553595,0.7238030863965567,0.0,1760949159.250837
48,24,-0.06249291885432277,0.01932001407971989,0.0,-1.4998300525037465,0.4636803379132774,0.0,1760949159.6615396
49,35,-0.04742883607536332,0.02125161274401337,-0.17142857142857143,-1.6600092626377163,0.743806446040468,-6.0,1760949160.335409
50,25,-0.05567579651968364,0.019710417647479203,0.0,-1.391894912992091,0.4927604411869801,0.0,1760949160.8504972
51,17,-0.04877559430734858,0.02163116223645823,0.0,-0.8291851032249259,0.3677297580197899,0.0,1760949161.3205225
52,19,-0.05706600100583457,0.020448094403224003,0.0,-1.0842540191108567,0.38851379366125605,0.0,1760949209.4513307
