episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at,pid,agent
1,49,-0.0032735144161334,-0.0042946773961872,0.0,0.0,-0.1604022063905399,-0.2104391924131768,0.0,0.0,0,False,True,1762531335.0207503,pid_32100,KL002
1,52,-0.0037072838322908,-0.0057191572977511,0.0,0.0,-0.1927787592791253,-0.2973961794830604,0.0,0.0,0,False,True,1762531335.0962183,pid_40616,KL004
1,57,-0.0034148364960512,-0.0035423702728405,-0.0526315789473684,-0.0155401653176338,-0.1946456802749199,-0.2019151055519116,-3.0,-0.8857894231051282,1,False,True,1762531335.2234514,pid_13404,KL001
1,57,-0.0020860477986273,-0.0011006814452571,-0.0526315789473684,-0.0419314528926103,-0.1189047245217584,-0.0627388423796579,-3.0,-2.390092814878787,1,False,True,1762531335.2234514,pid_22708,KL005
1,60,-0.0017286310075597,0.0021400700143067,0.0,0.0,-0.1037178604535854,0.1284042008584043,0.0,0.0,0,False,True,1762531335.2917068,pid_25224,KL004
1,61,-0.0016266873015832,0.0025675584386094,-0.0491803278688524,-0.0391818494242424,-0.0992279253965789,0.1566210647551751,-3.0,-2.390092814878787,1,False,True,1762531335.3212693,pid_22708,KL006
1,62,-0.0009294084846993,0.0061596207359587,0.0,-0.0088407309165217,-0.0576233260513581,0.3818964856294427,0.0,-0.5481253168243513,0,False,True,1762531335.3445666,pid_35928,KL002
1,65,-0.0021354610865789,-9.840680390351684e-05,0.0,0.0,-0.138804970627633,-0.0063964422537285,0.0,0.0,0,False,True,1762531335.4277349,pid_35104,KL001
1,66,-0.0020109301363844,0.0010533083704877,0.0,0.0,-0.1327213890013723,0.0695183524521909,0.0,0.0,0,False,True,1762531335.4554722,pid_22708,KL002
1,67,-0.0013272271364639,0.002673212941332,-0.044776119402985,-0.0118844609304102,-0.0889242181430863,0.1791052670692481,-3.0,-0.7962588823374835,1,False,True,1762531335.477142,pid_35928,KL003
1,68,-0.0017004805481147,0.0008583922684017,0.0,0.0,-0.1156326772718025,0.0583706742513187,0.0,0.0,0,False,True,1762531335.5063558,pid_12948,KL004
1,69,-0.0033561718413381,-0.0025536918117734,0.0,0.0,-0.2315758570523347,-0.176204735012365,0.0,0.0,0,False,True,1762531335.5288622,pid_25356,KL005
1,70,-0.0019997965311299,0.001859150492124,0.0,0.0,-0.1399857571790956,0.1301405344486869,0.0,0.0,0,False,True,1762531335.5509157,pid_13404,KL006
1,72,-0.0010060878548164,0.0058107675644404,0.0,0.0,-0.072438325546784,0.4183752646397105,0.0,0.0,0,False,True,1762531335.616918,pid_25224,KL003
1,72,-0.0029491798934698,-0.0023491428196438,0.0,0.0,-0.2123409523298293,-0.169138283014356,0.0,0.0,0,False,True,1762531335.6199074,pid_3320,KL001
1,73,-0.0031505664802265,-0.0037409176357141,0.0,0.0,-0.2299913530565377,-0.2730869874071318,0.0,0.0,0,False,True,1762531335.6473918,pid_27508,KL004
1,78,-0.0021623316753911,0.0004437491639461,0.0,0.0,-0.168661870680511,0.0346124347878021,0.0,0.0,0,False,True,1762531335.770646,pid_8984,KL001
1,78,-0.0025683559432472,-0.0017361264900935,0.0,-0.0176269367642082,-0.2003317635732844,-0.1354178662272943,0.0,-1.3749010676082407,0,False,True,1762531335.7718527,pid_32100,KL004
1,79,-0.002938551103581,-0.0024827194097523,0.0,0.0,-0.2321455371829062,-0.1961348333704361,0.0,0.0,0,False,True,1762531335.7886825,pid_15996,KL004
1,80,-0.0027889025027289,-0.0029196575982589,0.0,0.0,-0.2231122002183135,-0.2335726078607121,0.0,0.0,0,False,True,1762531335.8141687,pid_12948,KL002
1,81,-0.0020296719618546,0.0014042324561608,0.0,-0.0287150772319008,-0.164403428910223,0.1137428289490261,0.0,-2.3259212557839706,0,False,True,1762531335.8379097,pid_35104,KL004
1,82,-0.0031661132646399,-0.0039389786484795,0.0,0.0,-0.2596212877004791,-0.3229962491753223,0.0,0.0,0,False,True,1762531335.8569324,pid_39072,KL002
1,83,-0.0017787876074621,0.001428290575118,-0.072289156626506,-0.0413583689560242,-0.1476393714193551,0.1185481177347991,-6.0,-3.4327446233500094,2,False,True,1762531335.8886333,pid_25356,KL006
1,88,-0.0036976436167862,-0.0062239596004926,0.0,-0.0072590154095873,-0.3253926382771859,-0.5477084448433488,0.0,-0.6387933560436903,0,False,True,1762531336.010653,pid_35928,KL004
1,89,-0.001802393709402,-0.0016455024848162,-0.0337078651685393,-0.0089467290150279,-0.1604130401367785,-0.1464497211486464,-3.0,-0.7962588823374835,1,False,True,1762531336.0341983,pid_35928,KL005
1,89,-0.0020693499274415,0.0002752917750391,-0.0337078651685393,-0.026392171357312,-0.1841721435422966,0.0245009679784812,-3.0,-2.348903250800771,1,False,True,1762531336.0352044,pid_7208,KL002
1,90,-0.0016951381472297,-0.0020764463295211,0.0,-8.790011690074867e-05,-0.1525624332506754,-0.1868801696569031,0.0,-0.0079110105210673,0,False,True,1762531336.0552576,pid_3156,KL006
1,91,-0.0023701573555029,9.08876669329519e-05,0.0,0.0,-0.2156843193507679,0.0082707776908986,0.0,0.0,0,False,True,1762531336.0825229,pid_23148,KL006
1,94,-0.0031288823140385,-0.0032535184712518,-0.0319148936170212,-0.0153789616620949,-0.2941149375196208,-0.3058307362976709,-3.0,-1.4456223962369226,1,False,True,1762531336.1602645,pid_4276,KL001
1,97,-0.0015181542372153,0.0031096534020464,-0.0309278350515463,-0.0075970767978315,-0.1472609610098854,0.3016363799985078,-3.0,-0.7369164493896648,1,False,True,1762531336.2283823,pid_8984,KL004
