feature,index,min,max,mean,std,samples,episode_index
dist_n_2,26,-0.629741907119751,1.0981955528259277,-0.2076890987224265,0.3252102765079528,2822,4
cos_drift,0,-0.9999992251396179,1.0,0.07558099102078018,0.7204379727158465,3316,5
sin_drift,1,-0.9999946355819702,0.9999999403953552,0.17396979789907954,0.6672945050391207,3316,5
airspeed_norm,2,-0.5147975087165833,1.0000131130218506,-0.03493265507536196,0.17389515851813284,3316,5
risk_0,3,0.014000000432133675,1.0,0.11040190399166054,0.18651478964251528,3316,5
risk_1,4,0.014000000432133675,0.6585144400596619,0.03474275252514433,0.033838448123645976,3316,5
risk_2,5,0.014000000432133675,0.10488560050725937,0.02153231024846607,0.017151504602276654,3316,5
x_r_0,6,-0.6080337166786194,1.032386064529419,0.05776365754368234,0.22018834450342192,3316,5
x_r_1,7,-0.7424250245094299,0.8263638615608215,-0.02380030725671464,0.2394897520536092,3316,5
x_r_2,8,-1.0588440895080566,0.9243055582046509,-0.060318553046215355,0.29218044724371045,3316,5
y_r_0,9,-0.7273904085159302,0.8455840349197388,-0.01259651314665986,0.17492338872677315,3316,5
y_r_1,10,-0.6784486770629883,0.9782083630561829,0.05498725619104644,0.26658597895332864,3316,5
y_r_2,11,-0.7763494849205017,0.7975286841392517,0.032562197630509326,0.28189790218526983,3316,5
vx_r_0,12,-0.938351035118103,0.938351035118103,0.004483680415625988,0.2131544005088193,3316,5
vx_r_1,13,-0.9375035762786865,0.8991888761520386,-0.040782485639710354,0.21442858839808804,3316,5
vx_r_2,14,-0.9361874461174011,0.8325698375701904,-0.034842966124569,0.23402747955271933,3316,5
vy_r_0,15,-0.8973021507263184,0.8933552503585815,-0.027959173923488297,0.24418676948496604,3316,5
vy_r_1,16,-0.8621405363082886,0.8973021507263184,0.008236749731619874,0.2264521455087129,3316,5
vy_r_2,17,-0.881784975528717,0.881784975528717,0.008988951975679156,0.23391489122594405,3316,5
cos_trk_0,18,-1.0,0.9999927878379822,0.03225526752684691,0.6436448625276889,3316,5
cos_trk_1,19,-1.0,0.9999960064888,-0.14031487353741304,0.6829736625148296,3316,5
cos_trk_2,20,-0.9999988675117493,0.9999986886978149,-0.1057307137125244,0.7029742172564193,3316,5
sin_trk_0,21,-0.9999998211860657,0.9999998211860657,-0.0852143135150124,0.7600779982244862,3316,5
sin_trk_1,22,-1.0,0.9999998807907104,0.015582738069794013,0.716876236067846,3316,5
sin_trk_2,23,-0.999998927116394,0.9999998807907104,0.003780131756420168,0.7035142210907841,3316,5
dist_n_0,24,-0.6617617607116699,0.7972695231437683,-0.36591383476406014,0.23732853153724426,3316,5
dist_n_1,25,-0.6479908227920532,0.8016576766967773,-0.26702579909064206,0.2737362815553824,3316,5
dist_n_2,26,-0.629741907119751,1.0981955528259277,-0.21318151512405586,0.30933203209498344,3316,5
cos_drift,0,-0.9999992251396179,1.0,0.09211825952389657,0.7182865574377496,3876,6
sin_drift,1,-0.9999998807907104,0.9999999403953552,0.16689211005258145,0.6693088655943679,3876,6
airspeed_norm,2,-0.5182087421417236,1.0000131130218506,-0.039321531847145756,0.17881574692307203,3876,6
risk_0,3,0.014000000432133675,1.0,0.10641331480425817,0.17862993372511857,3876,6
risk_1,4,0.014000000432133675,0.6585144400596619,0.03396632652816254,0.032951444695904906,3876,6
risk_2,5,0.014000000432133675,0.10488560050725937,0.021591856231109506,0.017386047924102005,3876,6
x_r_0,6,-0.6080337166786194,1.032386064529419,0.05114553406193523,0.21000431486941487,3876,6
x_r_1,7,-0.7424250245094299,0.8263638615608215,-0.026823844185806873,0.23089884943417013,3876,6
