episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_path_efficiency,mean_reward_boundary,mean_reward_step,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_path_efficiency,sum_reward_boundary,sum_reward_step,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at
12,69,-0.0012858249962601495,0.042340377129042435,-0.7246376811594203,0.0,0.0,-0.02000000000000001,0.15444022492425197,-0.08872192474195031,2.921486021903928,-50.0,0.0,0.0,-1.3800000000000008,10.656375519773386,5,True,False,1764577668.6109405
13,48,-0.002105050500696628,0.05194721961061808,-2.0833333333333335,0.0,0.0,-0.02000000000000001,0.29821236417177344,-0.10104242403343815,2.493466541309668,-100.0,0.0,0.0,-0.9600000000000005,14.314193480245125,10,True,False,1764577685.0814617
14,166,-0.0028878616978149836,0.02011360061687522,-0.42168674698795183,0.0,0.0,-0.020000000000000014,0.1526052920954053,-0.4793850418372873,3.3388577024012864,-70.0,0.0,0.0,-3.3200000000000025,25.332478487837278,7,True,False,1764577730.3199072
15,134,-0.005294499207943899,-0.002762404378875195,0.0,0.0,-0.007462686567164179,-0.020000000000000014,0.05565133960529894,-0.7094628938644825,-0.37016218676927615,0.0,0.0,-1.0,-2.680000000000002,7.457279507110058,0,False,True,1764577748.555691
16,96,-0.0012591692918701373,0.03552151499788562,-0.625,0.0,0.0,-0.020000000000000014,0.0762941234895045,-0.12088025201953317,3.4100654397970196,-60.0,0.0,0.0,-1.9200000000000013,7.324235854992432,6,True,False,1764577769.449055
17,73,-0.0014105057479022027,0.039769684366742206,0.0,0.0,0.0,-0.02000000000000001,0.00499301689948266,-0.1029669195968608,2.903186958772181,0.0,0.0,0.0,-1.4600000000000009,0.36449023366223415,0,True,False,1764577791.2493525
18,224,-0.0033039965955991165,0.013756585375990714,-1.5178571428571428,0.0,0.0,-0.019999999999999966,0.3441865477227424,-0.7400952374142021,3.08147512422192,-340.0,0.0,0.0,-4.479999999999992,77.09778668989429,34,True,False,1764577840.3137314
19,300,-0.0040807555848364355,0.000937463555542648,-3.3666666666666667,0.0,0.0,-0.019999999999999865,0.5074014091398854,-1.2242266754509306,0.2812390666627944,-1010.0,0.0,0.0,-5.99999999999996,152.22042274196562,101,False,True,1764577884.8899257
20,189,-0.003515367503424349,0.015410375037758632,-0.7407407407407407,0.0,0.0,-0.020000000000000014,0.417085304581675,-0.664404458147202,2.9125608821363813,-140.0,0.0,0.0,-3.780000000000003,78.82912256593657,14,True,False,1764577906.2207959
21,149,-0.003171618480335794,0.019030310651063868,-2.348993288590604,0.0,0.0,-0.020000000000000014,0.2960565776724606,-0.47257115357003326,2.835516287008516,-350.0,0.0,0.0,-2.980000000000002,44.11243007319663,35,True,False,1764577932.7103922
22,83,-0.004806809931073161,-0.00277634267934391,-0.7228915662650602,0.0,-0.012048192771084338,-0.02000000000000001,0.18135890929446613,-0.3989652242790724,-0.2304364423855445,-60.0,0.0,-1.0,-1.660000000000001,15.052789471440688,6,False,True,1764577941.3672683
23,169,-0.001448542347617087,0.019393256437604277,-0.11834319526627218,0.0,0.0,-0.020000000000000014,0.03488024647568915,-0.24480365674728768,3.2774603379551226,-20.0,0.0,0.0,-3.3800000000000026,5.894761654391467,2,True,False,1764577980.1056788
24,198,-0.002422594768676971,0.016214110784199768,0.0,0.0,0.0,-0.020000000000000014,0.064148592714719,-0.4796737641980403,3.2103939352715543,0.0,0.0,0.0,-3.960000000000003,12.701421357514361,0,True,False,1764578012.359774
