episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,finished_at,pid,agent
1,41,-0.1666979324148039,0.0,0.0,-6.834615229006961,0.0,0.0,1761039015.346885,pid_22012,KL001
1,43,-0.1785506379657978,0.0,0.0,-7.677677432529307,0.0,0.0,1761039015.3488855,pid_21676,KL002
1,42,-0.1196528898358429,0.0,0.0,-5.025421373105405,0.0,0.0,1761039015.3607285,pid_25980,KL002
1,46,-0.2075717220612616,0.0,0.0,-9.548299214818034,0.0,0.0,1761039015.401379,pid_22012,KL004
2,10,-0.0869150263102842,0.0,0.0,-0.869150263102842,0.0,0.0,1761039015.4433532,pid_26880,KL003
1,51,-0.1589708122173514,0.0,0.0,-8.107511423084924,0.0,0.0,1761039015.4513538,pid_29116,KL004
1,53,-0.1666698620604873,0.0,-0.0188679245283018,-8.833502689205828,0.0,-1.0,1761039015.475237,pid_29116,KL006
1,49,-0.1714867621018086,0.0,0.0,-8.402851342988622,0.0,0.0,1761039015.478238,pid_34704,KL002
1,57,-0.1677170262020699,0.0,0.0,-9.559870493517987,0.0,0.0,1761039015.478238,pid_29628,KL004
2,13,-0.2061530133548231,0.0,0.0,-2.6799891736127006,0.0,0.0,1761039015.48769,pid_26880,KL002
2,30,-0.0537283106747646,0.0333333333333333,0.0,-1.6118493202429385,1.0,0.0,1761039015.498271,pid_8616,KL002
1,54,-0.119410361645296,0.0,-0.037037037037037,-6.448159528845987,0.0,-2.0,1761039015.5047953,pid_23264,KL004
1,57,-0.2053069672880411,0.0,0.0,-11.702497135418346,0.0,0.0,1761039015.5147934,pid_16000,KL003
1,62,-0.1910732509999764,0.0,0.0,-11.84654156199854,0.0,0.0,1761039015.522791,pid_10116,KL003
2,7,-0.1367233780813508,0.0,0.0,-0.9570636465694556,0.0,0.0,1761039015.5247931,pid_22012,KL002
2,7,-0.0968830541965922,0.0,0.0,-0.6781813793761455,0.0,0.0,1761039015.5247931,pid_22012,KL003
1,58,-0.1488068394623892,0.0,-0.0344827586206896,-8.630796688818574,0.0,-2.0,1761039015.543316,pid_32348,KL003
1,60,-0.1764388105886983,0.0,-0.05,-10.5863286353219,0.0,-3.0,1761039015.5554645,pid_30944,KL005
2,10,-0.154668655387408,0.0,0.0,-1.5466865538740802,0.0,0.0,1761039015.5644686,pid_22012,KL004
1,59,-0.1700453694777572,0.0,0.0,-10.032676799187676,0.0,0.0,1761039015.5664716,pid_2040,KL005
1,62,-0.1643097196208566,0.0,0.0,-10.187202616493114,0.0,0.0,1761039015.5905025,pid_25980,KL006
2,6,-0.1480707261856594,0.0,0.0,-0.8884243571139563,0.0,0.0,1761039015.5920086,pid_29628,KL002
1,61,-0.1163889018258974,0.0,-0.0163934426229508,-7.099723011379741,0.0,-1.0,1761039015.6028478,pid_23264,KL005
1,59,-0.2251092774450871,0.0,0.0,-13.28144736926014,0.0,0.0,1761039015.6058471,pid_29612,KL006
1,60,-0.142734279609863,0.0,-0.05,-8.56405677659178,0.0,-3.0,1761039015.6058471,pid_34704,KL006
1,62,-0.1852281497123825,0.0,-0.0483870967741935,-11.484145282167717,0.0,-3.0,1761039015.631195,pid_34704,KL003
2,42,-0.1616487955512471,0.0,0.0,-6.789249413152379,0.0,0.0,1761039015.646722,pid_8616,KL001
2,27,-0.2255232366441051,0.0,0.0,-6.089127389390839,0.0,0.0,1761039015.6728811,pid_26880,KL005
1,68,-0.14849950425513,0.0,0.0,-10.097966289348845,0.0,0.0,1761039015.6819546,pid_2040,KL003
1,71,-0.1457822788937104,0.0,-0.028169014084507,-10.350541801453442,0.0,-2.0,1761039015.7017994,pid_32348,KL004
2,30,-0.2127698855403791,0.0,0.0,-6.383096566211376,0.0,0.0,1761039015.7101958,pid_26880,KL004
2,30,-0.1297453421101758,0.0,0.0,-3.892360263305275,0.0,0.0,1761039015.7101958,pid_26880,KL006
2,33,-0.1727253145775506,0.0,0.0,-5.699935381059171,0.0,0.0,1761039015.7433217,pid_26880,KL001
1,77,-0.1788697616588218,0.0,0.0,-13.772971647729282,0.0,0.0,1761039015.7518551,pid_30944,KL002
1,74,-0.145511373529901,0.0,0.0,-10.767841641212678,0.0,0.0,1761039015.755857,pid_16000,KL002
2,53,-0.1949233386961926,0.0,0.0,-10.330936950898211,0.0,0.0,1761039015.7811625,pid_8616,KL005
2,7,-0.0441863741532616,0.0,0.0,-0.3093046190728317,0.0,0.0,1761039015.8047206,pid_2040,KL006
1,77,-0.1631551037059905,0.0,0.0,-12.562942985361271,0.0,0.0,1761039015.8117218,pid_20272,KL002
2,11,-0.1249195476675456,0.0,0.0,-1.3741150243430025,0.0,0.0,1761039015.8127203,pid_25980,KL006
1,75,-0.1543595411264051,0.0,0.0,-11.576965584480384,0.0,0.0,1761039015.813722,pid_29612,KL002
2,10,-0.1981039960183847,0.0,0.0,-1.981039960183848,0.0,0.0,1761039015.845558,pid_2040,KL001
2,25,-0.1742328173863499,0.0,-0.04,-4.355820434658748,0.0,-1.0,1761039015.847561,pid_29628,KL005
3,4,-0.1032396836848475,0.0,0.0,-0.41295873473939,0.0,0.0,1761039015.8495588,pid_26880,KL002
1,80,-0.1421250862061338,0.0,0.0,-11.37000689649071,0.0,0.0,1761039015.87966,pid_29612,KL003
1,88,-0.1873944506850788,0.0,0.0,-16.49071166028694,0.0,0.0,1761039015.8826678,pid_32348,KL002
2,13,-0.0981840749654169,0.0,0.0,-1.2763929745504203,0.0,0.0,1761039015.8846686,pid_2040,KL002
1,89,-0.1664436566220768,0.0,0.0,-14.813485439364838,0.0,0.0,1761039015.8981824,pid_24992,KL003
2,16,-0.2150245007472777,0.0,0.0,-3.4403920119564444,0.0,0.0,1761039015.8981824,pid_25980,KL003
1,85,-0.1734112123217504,0.0,0.0,-14.73995304734879,0.0,0.0,1761039015.8991816,pid_20272,KL001
1,85,-0.1500267087719614,0.0,0.0,-12.752270245616716,0.0,0.0,1761039015.9001887,pid_21676,KL006
2,34,-0.1197253975150472,0.0,0.0,-4.070663515511606,0.0,0.0,1761039015.9041913,pid_22012,KL001
2,29,-0.2320841017672437,0.0,-0.0344827586206896,-6.730438951250069,0.0,-1.0,1761039015.9041913,pid_29628,KL004
3,8,-0.1590580260100511,0.0,0.0,-1.2724642080804087,0.0,0.0,1761039015.9174302,pid_26880,KL001
1,88,-0.1887075614732399,0.0,-0.0227272727272727,-16.60626540964511,0.0,-2.0,1761039015.9215417,pid_16000,KL005
