episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,finished_at
36,105,-0.008325565050327138,0.025567567445877657,-0.08571428571428572,-0.00977718440138187,-0.8741843302843496,2.684594581817154,-9.0,-1.0266043621450964,3,1761294611.9635906
37,78,-0.0045789753203133825,0.030420305280131864,0.0,-0.05105075877731592,-0.35716007498444385,2.3727838118502853,0.0,-3.9819591846306417,0,1761294612.643616
38,84,-0.007674616160168927,0.028495491438697746,0.0,0.0,-0.6446677574541899,2.3936212808506108,0.0,0.0,0,1761294613.591703
39,34,-0.00857372787409295,0.044892981264866384,0.0,0.0,-0.2915067477191603,1.526361363005457,0.0,0.0,0,1761294614.1085083
40,10,-0.002769103148076899,0.12108236752081807,0.0,0.0,-0.027691031480768992,1.2108236752081807,0.0,0.0,0,1761294614.771465
41,43,-0.008522049277011069,0.040732736659524954,0.0,0.0,-0.366448118911476,1.751507676359573,0.0,0.0,0,1761294615.546136
42,122,-0.007375221971413081,0.025194077083951827,0.0,0.0,-0.8997770805123959,3.073677404242123,0.0,0.0,0,1761294690.607764
43,102,-0.006628754789168225,0.027725241315743554,0.0,0.0,-0.676132988495159,2.8279746142058424,0.0,0.0,0,1761294691.5121648
44,52,-0.006795855665021148,0.03498082260119606,0.0,0.0,-0.3533844945810997,1.8190027752621951,0.0,0.0,0,1761294692.072274
45,105,-0.011012303786440943,0.023883481417642016,-0.37142857142857144,-0.0437891141613421,-1.156291897576299,2.5077655488524115,-39.0,-4.597856986940921,13,1761294693.5184197
46,79,-0.011567832094688323,0.015180815998443965,-0.4177215189873418,-0.027253618720737918,-0.9138587354803775,1.1992844638770732,-33.0,-2.1530358789382955,11,1761294694.3210988
47,114,-0.007275472852579004,0.025727806476884676,-0.15789473684210525,-0.028358080249361275,-0.8294039051940064,2.9329699383648533,-18.0,-3.2328211484271856,6,1761294695.2467234
48,115,-0.00991193559914215,0.024575473954255068,-0.41739130434782606,-0.09045259802111348,-1.1398725939013472,2.8261795047393328,-48.0,-10.402048772428051,16,1761294766.6493561
49,81,-0.0068019070678494225,0.030057925450110913,0.0,0.0,-0.5509544724958032,2.434691961458984,0.0,0.0,0,1761294767.5622795
50,83,-0.008439528128971393,0.01621132072166247,0.0,0.0,-0.7004808347046255,1.3455396198979852,0.0,0.0,0,1761294768.6964493
51,87,-0.009662082739763416,0.015853727119123362,-0.4827586206896552,-0.042227997384614926,-0.8406011983594172,1.3792742593637326,-42.0,-3.6738357724614987,14,1761294769.7513137
52,106,-0.005634886106733266,0.0269831458147689,0.0,-0.04416287307572218,-0.5972979273137262,2.8602134563655035,0.0,-4.681264546026551,0,1761294770.9658594
53,87,-0.004884277809574577,0.029501223705760065,0.0,0.0,-0.42493216943298817,2.5666064624011256,0.0,0.0,0,1761294843.751262
54,33,-0.006496943044840405,0.04871020060776437,0.0,0.0,-0.21439912047973336,1.6074366200562242,0.0,0.0,0,1761294844.2470508
55,84,-0.005257318632807016,0.029864374355153676,0.0,0.0,-0.4416147651557894,2.508607445832909,0.0,0.0,0,1761294845.2325308
56,14,-0.0027154911038702254,0.021742906361847756,0.0,0.0,-0.038016875454183155,0.3044006890658686,0.0,0.0,0,1761294845.454283
57,32,-0.0051922909723198,0.01945062744484462,0.0,0.0,-0.1661533111142336,0.6224200782350279,0.0,0.0,0,1761294846.5380578
58,58,-0.007454288210654621,0.03329557628007956,-0.3620689655172414,-0.04719064551009279,-0.43234871621796805,1.9311434242446142,-21.0,-2.737057439585382,7,1761294847.534866
59,113,-0.012718256540436998,0.022515043536815986,-0.18584070796460178,-0.008568543779567997,-1.4371629890693807,2.5441999196602065,-21.0,-0.9682454470911837,7,1761294921.6714034
60,17,-0.004166883787604214,0.07849829084127705,0.0,0.0,-0.07083702438927164,1.3344709443017098,0.0,0.0,0,1761294921.897614
61,58,-0.00992120189228747,0.03306812630287788,-0.5172413793103449,-0.03495580905822643,-0.5754297097526733,1.917951325566917,-30.0,-2.027436925377133,10,1761294923.2473466
62,82,-0.005956452104224101,0.029873221436950738,0.0,0.0,-0.4884290725463763,2.4496041578299605,0.0,0.0,0,1761294924.1939933
63,1,-0.004104833345788718,1.0,0.0,0.0,-0.004104833345788718,1.0,0.0,0.0,0,1761294924.3056533
64,69,-0.007680187066743845,0.03142405914079668,-0.30434782608695654,-0.024739659557436955,-0.5299329076053253,2.168260080714971,-21.0,-1.7070365094631499,7,1761294925.8721082
65,120,-0.007109843578257838,0.025290215669128886,0.0,0.0,-0.8531812293909405,3.0348258802954664,0.0,0.0,0,1761295003.0429788
66,95,-0.011452488696682257,0.025354554436950016,0.0,-0.05344253447451292,-1.0879864261848144,2.4086826715102516,0.0,-5.077040775078728,0,1761295003.7855854
67,121,-0.011370134343579327,0.022688419186751463,-0.2975206611570248,-0.015705064934616507,-1.3757862555730986,2.745298721596927,-36.0,-1.9003128570885972,12,1761295004.8335035
68,122,-0.014624752229579426,0.01966873804295085,-0.19672131147540983,-0.05455540322465708,-1.78421977200869,2.3995860412400036,-24.0,-6.655759193408164,8,1761295005.8729603
69,16,-0.002942010750104201,0.08121980282754859,0.0,0.0,-0.04707217200166722,1.2995168452407775,0.0,0.0,0,1761295006.0400395
70,33,-0.005716399998987294,0.048904033090569655,0.0,0.0,-0.1886411999665807,1.6138330919887987,0.0,0.0,0,1761295006.9461565
71,112,-0.016884694226646308,0.01912124129419684,0.0,-0.029618357755210566,-1.8910857533843863,2.141579024950046,0.0,-3.3172560685835832,0,1761295080.7626908
72,115,-0.009404042484158987,0.023288187830706925,-0.41739130434782606,-0.07020028401842188,-1.0814648856782836,2.6781416005312964,-48.0,-8.073032662118516,16,1761295082.036567
73,100,-0.006396269738240904,0.018009882041927893,0.0,0.0,-0.6396269738240904,1.8009882041927892,0.0,0.0,0,1761295082.8335567
74,81,-0.005901460728836147,0.03024493601984683,0.0,0.0,-0.4780183190357279,2.449839817607593,0.0,0.0,0,1761295083.516507
75,50,-0.006804684840989264,0.036897742418809935,0.0,0.0,-0.34023424204946323,1.8448871209404967,0.0,0.0,0,1761295084.2432005
76,20,-0.005323422825494264,0.06903845904187775,-0.3,-0.2120480601595161,-0.10646845650988528,1.3807691808375548,-6.0,-4.240961203190322,2,1761295084.802026
77,87,-0.005524564906407959,0.02987011230440005,0.0,0.0,-0.4806371468574924,2.5986997704828045,0.0,0.0,0,1761295158.1668751
78,23,-0.0037907918218877505,0.06299344387965168,0.0,0.0,-0.08718821190341826,1.4488492092319887,0.0,0.0,0,1761295158.6809359
79,88,-0.008560276340157526,0.016639564416587777,-0.2727272727272727,-0.03985345000158695,-0.7533043179338623,1.4642816686597244,-24.0,-3.5071036001396516,8,1761295159.6157186
80,37,-0.006944323061945324,0.04510102364184921,0.0,0.0,-0.256939953291977,1.6687378747484207,0.0,0.0,0,1761295160.1603699
81,51,-0.019076772339910765,0.010483989263509384,0.0,0.0,-0.972915389335449,0.5346834524389785,0.0,0.0,0,1761295161.4216628
82,113,-0.005792433518485699,0.02662081108183915,-0.18584070796460178,-0.011097568435593693,-0.654544987588884,3.008151652247824,-21.0,-1.2540252332220874,7,1761295233.6492429
83,150,-0.015274125724516363,0.018251774468686605,-0.18,-0.06481775963683871,-2.2911188586774545,2.737766170302991,-27.0,-9.722663945525806,9,1761295234.9256563
84,81,-0.005831355149806319,0.03028686366660942,-0.2222222222222222,-0.04228467447050518,-0.47233976713431186,2.4532359569953632,-18.0,-3.4250586321109195,6,1761295235.5798874
85,115,-0.008543063443867245,0.02536287592683342,-0.4956521739130435,-0.040901464562760614,-0.9824522960447332,2.9167307315858433,-57.0,-4.7036684247174705,19,1761295236.6381085
86,52,-0.0066386594103010465,0.036976710745609806,0.0,0.0,-0.3452102893356544,1.92278895877171,0.0,0.0,0,1761295237.1241221
87,135,-0.009816281843403638,0.021465288059569196,-0.3333333333333333,-0.056335530223846506,-1.3251980488594912,2.8978138880418416,-45.0,-7.605296580219278,15,1761295311.8408115
88,63,-0.006162739387041521,0.03317093336546311,0.0,-0.02603729363465077,-0.3882525813836158,2.089768802024176,0.0,-1.6403494989829985,0,1761295312.4573727
89,111,-0.01064780227663934,0.021402205745931,-0.1891891891891892,-0.018149923439961052,-1.1819060527069667,2.3756448377983412,-21.0,-2.0146415018356767,7,1761295313.8338723
