episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,total_intrusions,finished_at,pid,agent,feature,index,min,max,mean,std,samples
1,14.0,-0.2224558867420209,0.0,-0.0714285714285714,-3.114382414388293,0.0,-1.0,1.0,1761056922.953874,pid_31928,KL006,,,,,,,
1,12.0,-0.1001270120066362,0.0,0.0,-1.2015241440796347,0.0,0.0,0.0,1761056922.954874,pid_21648,KL005,,,,,,,
1,18.0,-0.0715580333081368,0.0,-0.1666666666666666,-1.288044599546464,0.0,-3.0,3.0,1761056922.9568737,pid_29908,KL001,,,,,,,
1,19.0,-0.1938448029934618,0.0,-0.1052631578947368,-3.683051256875775,0.0,-2.0,2.0,1761056922.9598866,pid_6116,KL004,,,,,,,
1,17.0,-0.0926577711408512,0.0588235294117647,0.0,-1.575182109394471,1.0,0.0,0.0,1761056922.9608886,pid_25504,KL002,,,,,,,
1,19.0,-0.2162478942518348,0.0,-0.1578947368421052,-4.108709990784862,0.0,-3.0,3.0,1761056922.9708865,pid_29908,KL003,,,,,,,
1,16.0,-0.0663408593473016,0.0625,-0.0625,-1.0614537495568268,1.0,-1.0,1.0,1761056922.971887,pid_21668,KL002,,,,,,,
1,21.0,-0.1000561223215881,0.0476190476190476,0.0,-2.10117856875335,1.0,0.0,0.0,1761056922.9764102,pid_10268,KL004,,,,,,,
1,15.0,-0.0963570475586517,0.0,0.0,-1.4453557133797763,0.0,0.0,0.0,1761056922.977422,pid_26784,KL005,,,,,,,
1,22.0,-0.2183429418076779,0.0,0.0,-4.803544719768915,0.0,0.0,0.0,1761056922.987421,pid_3108,KL001,,,,,,,
1,14.0,-0.1785605984624745,0.0,0.0,-2.4998483784746437,0.0,0.0,0.0,1761056922.991423,pid_21648,KL002,,,,,,,
1,22.0,-0.1274206836578224,0.0,0.0,-2.8032550404720946,0.0,0.0,0.0,1761056922.9929264,pid_20936,KL005,,,,,,,
1,23.0,-0.0868162613531078,0.0,-0.0434782608695652,-1.99677401112148,0.0,-1.0,1.0,1761056923.0109794,pid_17144,KL005,,,,,,,
1,16.0,-0.0937200408323127,0.0,-0.0625,-1.499520653317004,0.0,-1.0,1.0,1761056923.0143976,pid_23928,KL006,,,,,,,
1,21.0,-0.1452605089087026,0.0,-0.0952380952380952,-3.050470687082755,0.0,-2.0,2.0,1761056923.023574,pid_29208,KL005,,,,,,,
1,19.0,-0.2151816512128729,0.0,0.0,-4.0884513730445855,0.0,0.0,0.0,1761056923.035939,pid_21668,KL003,,,,,,,
1,21.0,-0.0513675396823928,0.0476190476190476,0.0,-1.078718333330249,1.0,0.0,0.0,1761056923.0369344,pid_36364,KL002,,,,,,,
1,25.0,-0.1785693138054963,0.0,0.0,-4.464232845137409,0.0,0.0,0.0,1761056923.0393934,pid_17144,KL004,,,,,,,
1,25.0,-0.1100855935508591,0.0,0.0,-2.752139838771478,0.0,0.0,0.0,1761056923.047515,pid_27344,KL004,,,,,,,
2,3.0,-0.192447801582564,0.0,0.0,-0.5773434047476922,0.0,0.0,0.0,1761056923.0525143,pid_25504,KL003,,,,,,,
1,23.0,-0.2000694735520062,0.0,0.0,-4.601597891696143,0.0,0.0,0.0,1761056923.056548,pid_6232,KL001,,,,,,,
1,26.0,-0.1083428675477091,0.0,0.0,-2.816914556240439,0.0,0.0,0.0,1761056923.0604525,pid_27344,KL001,,,,,,,
1,24.0,-0.181095434347074,0.0,-0.1666666666666666,-4.346290424329776,0.0,-4.0,4.0,1761056923.0649738,pid_29208,KL001,,,,,,,
1,24.0,-0.1938433745944493,0.0,-0.25,-4.652240990266785,0.0,-6.0,6.0,1761056923.0649738,pid_29208,KL003,,,,,,,
1,24.0,-0.095686877741247,0.0,0.0,-2.29648506578993,0.0,0.0,0.0,1761056923.0649738,pid_29208,KL004,,,,,,,
1,29.0,-0.1587361238456789,0.0,-0.0344827586206896,-4.603347591524689,0.0,-1.0,1.0,1761056923.0893598,pid_6116,KL001,,,,,,,
1,22.0,-0.0675450292226049,0.0,0.0,-1.4859906428973086,0.0,0.0,0.0,1761056923.0978787,pid_27320,KL005,,,,,,,
1,30.0,-0.0874349543207092,0.0,0.0,-2.6230486296212785,0.0,0.0,0.0,1761056923.1024015,pid_20936,KL003,,,,,,,
1,28.0,-0.111876806574521,0.0,0.0,-3.13255058408659,0.0,0.0,0.0,1761056923.1081157,pid_17000,KL003,,,,,,,
1,24.0,-0.1528517715608374,0.0,-0.0416666666666666,-3.6684425174600976,0.0,-1.0,1.0,1761056923.1281366,pid_27320,KL003,,,,,,,
1,30.0,-0.1710140005191615,0.0,0.0,-5.130420015574845,0.0,0.0,0.0,1761056923.1341355,pid_6232,KL004,,,,,,,
2,8.0,-0.2019573753013945,0.0,0.0,-1.615659002411156,0.0,0.0,0.0,1761056923.1405232,pid_25504,KL006,,,,,,,
