episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,total_intrusions,finished_at,pid,agent
3,11,-0.1799702879771615,0.0,-0.0909090909090909,-1.9796731677487764,0.0,-1.0,1,1761057744.1284616,pid_13548,KL003
3,11,-0.1722900283762782,0.0,-0.0909090909090909,-1.8951903121390603,0.0,-1.0,1,1761057744.1284616,pid_13548,KL006
2,25,-0.2177145804468005,0.0,0.0,-5.442864511170014,0.0,0.0,0,1761057744.1304698,pid_20224,KL004
2,24,-0.1202830364928982,0.0416666666666666,0.0,-2.8867928758295585,1.0,0.0,0,1761057744.13347,pid_24476,KL003
3,5,-0.1528318883263303,0.0,0.0,-0.7641594416316515,0.0,0.0,0,1761057744.1349783,pid_24100,KL002
2,10,-0.1826499309484693,0.0,0.0,-1.8264993094846929,0.0,0.0,0,1761057744.1379886,pid_38352,KL006
2,14,-0.0737854401519217,0.0,0.0,-1.0329961621269044,0.0,0.0,0,1761057744.1404946,pid_19792,KL002
2,25,-0.1184942769808069,0.0,0.0,-2.962356924520174,0.0,0.0,0,1761057744.1455865,pid_24476,KL004
2,15,-0.1104135887421596,0.0,0.0,-1.656203831132395,0.0,0.0,0,1761057744.1531508,pid_19792,KL001
2,15,-0.1517999668142878,0.0,0.0,-2.2769995022143177,0.0,0.0,0,1761057744.1531508,pid_10428,KL006
2,14,-0.162524838615866,0.0,0.0,-2.2753477406221245,0.0,0.0,0,1761057744.1541493,pid_19688,KL003
2,14,-0.0505260571544438,0.0714285714285714,0.0,-0.7073648001622135,1.0,0.0,0,1761057744.1541493,pid_19688,KL004
2,11,-0.1872052689337845,0.0,-0.1818181818181818,-2.0592579582716297,0.0,-2.0,2,1761057744.1541493,pid_38352,KL005
2,16,-0.1265423737681265,0.0,0.0,-2.0246779802900248,0.0,0.0,0,1761057744.1801577,pid_10428,KL005
2,18,-0.1536839629477712,0.0,0.0,-2.7663113330598814,0.0,0.0,0,1761057744.192672,pid_19792,KL003
3,9,-0.1939764303923406,0.0,0.0,-1.7457878735310657,0.0,0.0,0,1761057744.193681,pid_24100,KL004
2,14,-0.2240794485782566,0.0,-0.4285714285714285,-3.137112280095593,0.0,-6.0,6,1761057744.2034397,pid_38352,KL002
3,11,-0.0596521908551988,0.0,0.0,-0.6561740994071871,0.0,0.0,0,1761057744.2054386,pid_25636,KL001
2,16,-0.2174647666091103,0.0,0.0,-3.4794362657457656,0.0,0.0,0,1761057744.2164388,pid_6332,KL001
3,5,-0.0494074877792476,0.2,-0.4,-0.2470374388962379,1.0,-2.0,2,1761057744.2295194,pid_23392,KL001
2,16,-0.0622527989058255,0.0,0.0,-0.9960447824932086,0.0,0.0,0,1761057744.2325182,pid_38352,KL003
2,18,-0.1438852232226187,0.0,0.0,-2.589934018007137,0.0,0.0,0,1761057744.244164,pid_6332,KL005
3,6,-0.1297515669549219,0.0,0.0,-0.7785094017295314,0.0,0.0,0,1761057744.250164,pid_23392,KL004
2,19,-0.1767091542176076,0.0,-0.0526315789473684,-3.357473930134545,0.0,-1.0,1,1761057744.2571638,pid_6332,KL006
3,14,-0.0864378201399562,0.0714285714285714,0.0,-1.2101294819593875,1.0,0.0,0,1761057744.263282,pid_25636,KL006
2,56,-0.15774264416309,0.0,-0.0357142857142857,-8.83358807313304,0.0,-2.0,2,1761057744.277973,pid_30812,KL001
3,7,-0.1203153941535572,0.0,0.0,-0.8422077590749005,0.0,0.0,0,1761057744.2789726,pid_24476,KL006
3,21,-0.2149676990567454,0.0,0.0,-4.514321680191655,0.0,0.0,0,1761057744.2924798,pid_13548,KL004
2,22,-0.0793407479345505,0.0,0.0,-1.745496454560111,0.0,0.0,0,1761057744.293488,pid_6332,KL002
2,26,-0.187450542995019,0.0,0.0,-4.873714117870494,0.0,0.0,0,1761057744.3101487,pid_19792,KL006
2,23,-0.176002172891528,0.0,-0.0869565217391304,-4.048049976505146,0.0,-2.0,2,1761057744.3101487,pid_20856,KL006
3,17,-0.0793533985067925,0.0,0.0,-1.3490077746154732,0.0,0.0,0,1761057744.3161464,pid_24100,KL001
2,35,-0.1234359936213514,0.0,-0.0571428571428571,-4.320259776747301,0.0,-2.0,2,1761057744.32486,pid_13348,KL002
3,18,-0.1906606430773219,0.0,0.0,-3.431891575391794,0.0,0.0,0,1761057744.3323998,pid_25636,KL003
3,11,-0.0439085964128185,0.0,-0.1818181818181818,-0.4829945605410045,0.0,-2.0,2,1761057744.3426886,pid_23392,KL002
2,44,-0.1954508395552541,0.0,0.0,-8.599836940431183,0.0,0.0,0,1761057744.3485208,pid_20224,KL001
3,12,-0.1605850944524889,0.0,-0.1666666666666666,-1.9270211334298677,0.0,-2.0,2,1761057744.3585205,pid_24476,KL002
3,1,-0.1412178485905253,1.0,0.0,-0.1412178485905253,1.0,0.0,0,1761057744.3585205,pid_19792,KL003
3,5,-0.095611759995773,0.0,0.0,-0.4780587999788652,0.0,0.0,0,1761057744.3645213,pid_38352,KL006
