episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,finished_at,pid,agent,total_intrusions
1,8,-0.1604586251919012,0.0,0.0,-1.28366900153521,0.0,0.0,1761043297.220359,pid_23300,KL002,
1,10,-0.1149954737426085,0.0,-0.4,-1.1499547374260857,0.0,-4.0,1761043297.2213578,pid_19800,KL004,
1,12,-0.2157492076933787,0.0,0.0,-2.588990492320545,0.0,0.0,1761043297.2296658,pid_6940,KL003,
1,11,-0.1926060774523941,0.0,-0.4545454545454545,-2.118666851976336,0.0,-5.0,1761043297.23428,pid_19800,KL001,
1,9,-0.2276742323629162,0.0,0.0,-2.0490680912662462,0.0,0.0,1761043297.23428,pid_27492,KL001,
1,9,-0.2046150839949866,0.0,0.0,-1.84153575595488,0.0,0.0,1761043297.23428,pid_27492,KL003,
1,11,-0.064611510226785,0.0,-0.1818181818181818,-0.710726612494636,0.0,-2.0,1761043297.2358072,pid_15904,KL002,
1,13,-0.1045598472076731,0.0,0.0,-1.3592780136997509,0.0,0.0,1761043297.2483325,pid_556,KL004,
1,13,-0.2017186073362832,0.0,0.0,-2.6223418953716817,0.0,0.0,1761043297.2483325,pid_556,KL005,
1,14,-0.158977905039527,0.0,0.0,-2.225690670553379,0.0,0.0,1761043297.2513337,pid_6532,KL004,
1,11,-0.1576523391269976,0.0,0.0,-1.734175730396974,0.0,0.0,1761043297.2543335,pid_26652,KL003,
1,13,-0.143564657557022,0.0,0.0,-1.8663405482412856,0.0,0.0,1761043297.2670972,pid_1620,KL004,
1,15,-0.21284793606358,0.0,-0.2666666666666666,-3.1927190409537,0.0,-4.0,1761043297.2690983,pid_24656,KL001,
1,13,-0.1052719618971728,0.0,-0.1538461538461538,-1.3685355046632468,0.0,-2.0,1761043297.2701046,pid_15904,KL004,
1,16,-0.0945164556483037,0.0,0.0,-1.5122632903728603,0.0,0.0,1761043297.286624,pid_556,KL002,
1,16,-0.1001048044006694,0.0,0.0,-1.6016768704107112,0.0,0.0,1761043297.286624,pid_13016,KL004,
1,13,-0.1947881998396632,0.0,0.0,-2.532246597915622,0.0,0.0,1761043297.2896247,pid_10228,KL001,
1,17,-0.0732247817421431,0.0,0.0,-1.2448212896164337,0.0,0.0,1761043297.2981417,pid_6940,KL001,
1,14,-0.0809666191431922,0.0,0.0,-1.1335326680046918,0.0,0.0,1761043297.3035069,pid_10228,KL006,
1,14,-0.1008104057218523,0.0,-0.0714285714285714,-1.4113456801059334,0.0,-1.0,1761043297.3155084,pid_27492,KL002,
1,19,-0.2182478125246851,0.0,-0.1052631578947368,-4.146708437969017,0.0,-2.0,1761043297.3205066,pid_24656,KL006,
1,17,-0.1016656262222862,0.0,0.0,-1.7283156457788669,0.0,0.0,1761043297.3215055,pid_15904,KL001,
1,17,-0.1027299641682626,0.0,0.0,-1.7464093908604648,0.0,0.0,1761043297.3265083,pid_2720,KL001,
1,15,-0.0769988376132857,0.0,0.0,-1.1549825641992864,0.0,0.0,1761043297.3305137,pid_26652,KL001,
1,17,-0.1125140975701577,0.0,-0.1176470588235294,-1.9127396586926817,0.0,-2.0,1761043297.3365142,pid_30024,KL001,
1,17,-0.2061182757508329,0.0,0.0,-3.50401068776416,0.0,0.0,1761043297.3365142,pid_21496,KL005,
1,15,-0.2008687238995365,0.0,0.0,-3.013030858493048,0.0,0.0,1761043297.3365142,pid_4564,KL005,
1,15,-0.1223119080872909,0.0,0.0,-1.834678621309364,0.0,0.0,1761043297.3365142,pid_4564,KL006,
1,18,-0.2056753871698647,0.0,-0.0555555555555555,-3.702156969057565,0.0,-1.0,1761043297.341518,pid_30352,KL006,
1,21,-0.1169172579218687,0.0,-0.0476190476190476,-2.455262416359244,0.0,-1.0,1761043297.35081,pid_6940,KL004,
1,22,-0.1842398451299879,0.0,0.0,-4.053276592859734,0.0,0.0,1761043297.36747,pid_556,KL001,
1,20,-0.0947199886978068,0.0,0.0,-1.894399773956137,0.0,0.0,1761043297.3734896,pid_21496,KL003,
1,19,-0.2018582431868477,0.0,0.0,-3.835306620550106,0.0,0.0,1761043297.3814807,pid_23300,KL005,
1,22,-0.2036645733426836,0.0,0.0,-4.480620613539039,0.0,0.0,1761043297.3829863,pid_15904,KL006,
1,23,-0.1217745265294416,0.0,0.0,-2.800814110177157,0.0,0.0,1761043297.390503,pid_19800,KL005,
