episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,pid,agent
4,22,-0.1403488637203286,0.0052826728294582,0.0,-3.087675001847229,0.1162188022480814,0.0,pid_32180,KL001
5,62,-0.1797662788843961,-0.0032967491680982,0.0,-11.14550929083256,-0.2043984484220926,0.0,pid_32180,KL001
6,45,-0.1630869259810657,-0.0006079769411542,0.0,-7.338911669147959,-0.02735896235194,0.0,pid_32180,KL001
1,5,-0.064816229880398,0.0202055409742234,0.0,-0.3240811494019899,0.1010277048711171,0.0,pid_34036,KL001
2,3,-0.134301920465535,0.0132533974202455,0.0,-0.4029057613966052,0.0397601922607366,0.0,pid_34036,KL001
3,19,-0.1689373686947229,-0.0007342503560704,0.0,-3.209810005199735,-0.0139507567653391,0.0,pid_34036,KL001
4,2,-0.1699911217233699,0.013513066875463,0.0,-0.3399822434467399,0.027026133750926,0.0,pid_34036,KL001
5,126,-0.1708058047132169,-0.0010656546355126,-0.0158730158730158,-21.521531393865335,-0.1342724840745909,-2.0,pid_34036,KL001
6,79,-0.1487761689559663,0.001944812814037,0.0,-11.75331734752134,0.1536402123089283,0.0,pid_34036,KL001
1,23,-0.1650670411452384,-0.0003222504541096,0.0,-3.796541946340484,-0.007411760444522,0.0,pid_36744,KL001
2,9,-0.1255733232615268,0.0095609804195454,0.0,-1.1301599093537418,0.0860488237759094,0.0,pid_36744,KL001
3,39,-0.2049354939000407,-0.0075307639866381,0.0,-7.992484262101589,-0.2936997954788881,0.0,pid_36744,KL001
4,16,-0.0879652676060409,0.0146075574856382,0.0,-1.4074442816966548,0.2337209197702124,0.0,pid_36744,KL001
5,14,-0.1836901476322088,-0.003657897598948,0.0,-2.571662066850924,-0.0512105663852725,0.0,pid_36744,KL001
6,78,-0.1604487284628868,-0.0010461776753133,0.0,-12.515000820105175,-0.0816018586744399,0.0,pid_36744,KL001
1,11,-0.0607295422837093,0.0196380289766722,0.0,-0.6680249651208026,0.2160183187433952,0.0,pid_41652,KL001
2,47,-0.1455400336803713,0.0035508069189059,0.0,-6.840381582977453,0.1668879251885812,0.0,pid_41652,KL001
3,84,-0.1726461331044154,-0.0012205547895648,0.0,-14.502275180770896,-0.1025266023234503,0.0,pid_41652,KL001
4,55,-0.149865371947306,0.0021265337282319,0.0,-8.24259545710183,0.116959355052757,0.0,pid_41652,KL001
5,9,-0.1055059312682635,0.0118512322783579,0.0,-0.9495533814143718,0.1066610905052217,0.0,pid_41652,KL001
6,22,-0.0812210647085488,0.0152915660789604,0.0,-1.786863423588074,0.3364144537371302,0.0,pid_41652,KL001
7,17,-0.1143530581028577,0.0095169569031881,0.0,-1.9440019877485808,0.1617882673541992,0.0,pid_41652,KL001
8,27,-0.1474284316131146,0.0020434495667992,-0.037037037037037,-3.980567653554096,0.0551731383035806,-1.0,pid_41652,KL001
9,41,-0.1748049425401528,-0.0023135616973314,0.0,-7.167002644146267,-0.094856029590591,0.0,pid_41652,KL001
1,23,-0.1168621294102124,0.0087736245905671,0.0,-2.687828976434886,0.2017933655830437,0.0,pid_43192,KL001
2,35,-0.0893654608289356,0.0135021399523778,0.0,-3.127791129012747,0.4725748983332257,0.0,pid_43192,KL001
3,37,-0.2222082802970992,-0.0095114520283625,0.0,-8.221706370992672,-0.3519237250494152,0.0,pid_43192,KL001
4,79,-0.1797654054929667,-0.0037848222839605,0.0,-14.201467033944374,-0.2990009604328854,0.0,pid_43192,KL001
1,24,-0.2154429754842698,-0.0095381770116089,0.0,-5.170631411622476,-0.2289162482786142,0.0,pid_46344,KL001
2,20,-0.1735188027548184,-0.0024135258769747,0.0,-3.470376055096368,-0.0482705175394957,0.0,pid_46344,KL001
3,44,-0.1057675469842205,0.0088096918668956,-0.0909090909090909,-4.653772067305704,0.3876264421434089,-4.0,pid_46344,KL001
4,39,-0.2242699716592416,-0.0112743010081187,0.0,-8.746528894710423,-0.4396977393166319,0.0,pid_46344,KL001
5,36,-0.1100318178179742,0.0096285194190591,0.0,-3.961145441447072,0.3466266990861305,0.0,pid_46344,KL001
6,48,-0.0779263328282294,0.0149337005240616,-0.0416666666666666,-3.740463975755015,0.7168176251549585,-2.0,pid_46344,KL001
