episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,pid,agent,run_id
1,14,-0.1101317643029668,0.011102248721875,0.0,-1.5418447002415356,0.1554314821062504,0.0,pid_16720,KL003,1
2,77,-0.1855182871899029,-0.0045087198648423,-0.0259740259740259,-14.284908113622526,-0.3471714295928628,-2.0,pid_16720,KL003,1
1,5,-0.1100191613023349,0.0152637340544286,0.0,-0.5500958065116748,0.076318670272143,0.0,pid_16720,KL004,1
2,6,-0.1898565515444261,-0.0039289605989136,0.0,-1.1391393092665572,-0.0235737635934821,0.0,pid_16720,KL004,1
3,12,-0.0691344334816682,0.0163373660134856,0.0,-0.8296132017800191,0.1960483921618281,0.0,pid_16720,KL004,1
4,37,-0.1932032845154409,-0.0059516721499359,0.0,-7.148521527071313,-0.2202118695476301,0.0,pid_16720,KL004,1
5,2,-0.1301057570968994,0.0152831932328244,0.0,-0.2602115141937988,0.0305663864656488,0.0,pid_16720,KL004,1
6,14,-0.1457340700834538,0.0034855617477466,0.0,-2.040276981168354,0.0487978644684535,0.0,pid_16720,KL004,1
7,82,-0.1347733218695322,0.0048238373597397,0.0,-11.051412393301648,0.3955546634986633,0.0,pid_16720,KL004,1
1,6,-0.1224356576880711,0.0104830650375693,0.0,-0.7346139461284271,0.0628983902254162,0.0,pid_16720,KL005,1
2,44,-0.1995905037506573,-0.0072360034913408,0.0,-8.781982165028921,-0.3183841536189952,0.0,pid_16720,KL005,1
3,55,-0.1172925717801876,0.0076826298842966,0.0,-6.451091447910321,0.4225446436363181,0.0,pid_16720,KL005,1
1,58,-0.106883125277484,0.0097669995118807,-0.0172413793103448,-6.199221266094075,0.5664859716890852,-1.0,pid_16720,KL006,1
2,14,-0.1111171507117725,0.0103353610801902,0.0,-1.555640109964816,0.1446950551226637,0.0,pid_16720,KL006,1
3,6,-0.2000034662534614,-0.0049298397234087,0.0,-1.2000207975207688,-0.0295790383404525,0.0,pid_16720,KL006,1
4,10,-0.2043279156723345,-0.0031894590841816,0.0,-2.043279156723345,-0.0318945908418167,0.0,pid_16720,KL006,1
5,144,-0.1468426939763187,0.0015946945506493,0.0,-21.145347932589893,0.2296360152935114,0.0,pid_16720,KL006,1
1,51,-0.1068461973915747,0.010492581550623,0.0,-5.449156066970311,0.5351216590817743,0.0,pid_1732,KL001,1
2,21,-0.1471624076377306,0.004262085367723,0.0,-3.0904105603923435,0.0895037927221832,0.0,pid_1732,KL001,1
3,115,-0.1617839610562912,-0.0003198195604256,0.0,-18.60515552147349,-0.036779249448949,0.0,pid_1732,KL001,1
4,50,-0.1127159294783011,0.0093491248043116,-0.04,-5.635796473915055,0.4674562402155832,-2.0,pid_1732,KL001,1
5,32,-0.1749657436057293,-0.0035536133589022,0.0,-5.598903795383338,-0.1137156274848717,0.0,pid_1732,KL001,1
6,31,-0.1774230671251454,-0.0033277891359967,0.0,-5.5001150808795085,-0.1031614632158983,0.0,pid_1732,KL001,1
7,42,-0.1441284673729281,0.0036408422552991,0.0,-6.053395629662983,0.1529153747225639,0.0,pid_1732,KL001,1
1,16,-0.2299514545894471,-0.0119901422542187,0.0,-3.6792232734311536,-0.1918422760674998,0.0,pid_1732,KL002,1
2,41,-0.1835749538786277,-0.0039932976265435,-0.048780487804878,-7.5265731090237376,-0.1637252026882851,-2.0,pid_1732,KL002,1
3,47,-0.1043098310371851,0.0100533862329425,-0.0212765957446808,-4.9025620587477,0.4725091529482997,-1.0,pid_1732,KL002,1
4,78,-0.145061234226157,0.0027105628105966,-0.0256410256410256,-11.314776269640245,0.211423899226537,-2.0,pid_1732,KL002,1
1,106,-0.1537597210418259,0.0011944160435245,-0.0283018867924528,-16.298530430433544,0.1266081006136051,-3.0,pid_1732,KL004,1
2,33,-0.1655312381741011,-0.0004805642790378,-0.0303030303030303,-5.462530859745336,-0.0158586212082493,-1.0,pid_1732,KL004,1
3,25,-0.1903016261179023,-0.005523772759879,0.0,-4.757540652947559,-0.1380943189969772,0.0,pid_1732,KL004,1
4,32,-0.0643777475034043,0.0181069114917698,-0.0625,-2.0600879201089377,0.5794211677366354,-2.0,pid_1732,KL004,1
5,27,-0.2061358485065062,-0.0079672484068983,0.0,-5.565667909675668,-0.2151157069862554,0.0,pid_1732,KL004,1
6,71,-0.13802521205609,0.0040045145161219,0.0,-9.79979005598239,0.2843205306446555,0.0,pid_1732,KL004,1
1,11,-0.1849537852656789,-0.0024426053820186,0.0,-2.0344916379224687,-0.026868659202205,0.0,pid_1732,KL005,1
2,12,-0.1900886723603732,-0.0042487772453583,-0.1666666666666666,-2.2810640683244783,-0.0509853269443001,-2.0,pid_1732,KL005,1
3,51,-0.1800055447210193,-0.0034927333296949,-0.0196078431372549,-9.180282780771984,-0.1781293998144407,-1.0,pid_1732,KL005,1
4,1,-0.3116630640242033,-0.0024808841734922,0.0,-0.3116630640242033,-0.0024808841734922,0.0,pid_1732,KL005,1
5,7,-0.1125711086666558,0.0108412098803351,0.0,-0.7879977606665909,0.0758884691623459,0.0,pid_1732,KL005,1
6,40,-0.1089996014863583,0.0096692679964479,0.0,-4.359984059454334,0.386770719857918,0.0,pid_1732,KL005,1
7,29,-0.1759717808336259,-0.002698101445146,-0.0344827586206896,-5.103181644175152,-0.0782449419092363,-1.0,pid_1732,KL005,1
8,129,-0.1609769470635247,0.0001499734583457,0.0,-20.766026171194696,0.0193465761265997,0.0,pid_1732,KL005,1
1,20,-0.2038655794219307,-0.0067526281805434,0.0,-4.077311588438614,-0.1350525636108688,0.0,pid_22192,KL001,1
2,11,-0.1952722966658062,-0.0046212505119493,0.0,-2.1479952633238693,-0.0508337556314428,0.0,pid_22192,KL001,1
3,8,-0.1006935338881923,0.0150069624311857,0.0,-0.805548271105539,0.1200556994494857,0.0,pid_22192,KL001,1
4,62,-0.1062056024950266,0.0100238693178795,-0.032258064516129,-6.5847473546916495,0.6214798977085314,-2.0,pid_22192,KL001,1
5,19,-0.1662177084876623,-0.0018643295898164,0.0,-3.158136461265584,-0.0354222622065124,0.0,pid_22192,KL001,1
6,259,-0.1542512116885751,0.0016903602276875,0.0,-39.95106382734095,0.437803298971067,0.0,pid_22192,KL001,1
1,36,-0.1709957671886597,-0.0017279039368878,0.0,-6.155847618791751,-0.062204541727963,0.0,pid_22192,KL003,1
2,43,-0.134116127520611,0.0048567678639371,0.0,-5.766993483386276,0.2088410181492968,0.0,pid_22192,KL003,1
3,8,-0.1870964307446052,-0.0032685201535308,0.0,-1.4967714459568418,-0.0261481612282466,0.0,pid_22192,KL003,1
4,7,-0.2298789098909287,-0.0084377988372495,0.0,-1.609152369236501,-0.059064591860747,0.0,pid_22192,KL003,1
5,114,-0.1325065948298397,0.4437272323711649,0.0,-15.10575181060173,50.5849044903128,0.0,pid_22192,KL003,1
1,7,-0.0860183228207166,0.0167995442026816,0.0,-0.6021282597450167,0.1175968094187712,0.0,pid_22192,KL004,1
2,85,-0.1139572965001026,0.0064032022240701,0.0,-9.686370202508725,0.5442721890459626,0.0,pid_22192,KL004,1
1,41,-0.136672970591403,0.0037319314491884,0.0,-5.603591794247523,0.153009189416726,0.0,pid_22192,KL005,1
1,36,-0.0931151916268292,0.0135865881131803,0.0,-3.352146898565852,0.489117172074494,0.0,pid_22192,KL006,1
2,21,-0.1522800653226458,0.0019445017473524,0.0,-3.1978813717755625,0.0408345366944012,0.0,pid_22192,KL006,1
3,63,-0.1095195039978311,0.0078057661459831,0.0,-6.899728751863364,0.4917632671969374,0.0,pid_22192,KL006,1
