episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_intrusion,terminated_waypoint,truncated,finished_at
22,23,-0.03270131435956364,0.0006409618665747688,0.0,0.0,-0.7521302302699636,0.014742122931219681,0.0,0.0,0,False,False,True,1761322445.1521337
23,8,-0.0033898155927672134,0.023840755527812306,-0.75,-1.110681946738508,-0.027118524742137707,0.19072604422249845,-6.0,-8.885455573908065,1,True,False,False,1761322445.3207998
24,17,-0.019694605612675515,0.011433474444892292,0.0,-1.1578748514257033,-0.33480829541548374,0.19436906556316896,0.0,-19.683872474236956,0,True,False,False,1761322445.5846682
25,7,-0.004007335591486145,0.0240338559271146,-0.8571428571428571,-1.2103282151188088,-0.028051349140403012,0.1682369914898022,-6.0,-8.472297505831662,1,True,False,False,1761322445.711065
26,8,-0.004660864130039576,0.023215299495262215,0.0,0.0,-0.03728691304031661,0.18572239596209772,0.0,0.0,0,True,False,False,1761322445.8234968
27,12,-0.009060694912533257,0.02011302773788483,0.0,-0.7112847790801458,-0.10872833895039907,0.241356332854618,0.0,-8.535417348961749,0,True,False,False,1761322446.1384504
28,57,-0.027322722242385623,0.0031315449487397035,0.0,-0.0006788255386285156,-1.5573951678159805,0.1784980620781631,0.0,-0.038693055701825387,0,False,False,True,1761322446.7902327
29,18,-0.004695984968987967,0.019828830800130422,0.0,-0.2547163103111581,-0.08452772944178341,0.3569189544023476,0.0,-4.584893585600846,0,True,False,False,1761322449.3023527
30,8,-0.003000005512991155,0.023803269300114248,0.0,0.0,-0.02400004410392924,0.19042615440091398,0.0,0.0,0,True,False,False,1761322449.4048088
31,37,-0.025489601047835736,0.0056652041031034946,0.0,-1.2094986447411977,-0.9431152387699222,0.2096125518148293,0.0,-44.75144985542431,0,True,False,False,1761322449.8976605
32,15,-0.007209966582738322,0.0189048098879626,-0.4,-0.48059948907655314,-0.10814949874107482,0.283572148319439,-6.0,-7.208992336148297,1,True,False,False,1761322450.1135006
33,3,-0.0021926331559788542,0.030689922355935078,0.0,0.0,-0.006577899467936563,0.09206976706780523,0.0,0.0,0,True,False,False,1761322450.1811886
34,3,-0.0064247421557306434,0.029181227457225473,0.0,0.0,-0.01927422646719193,0.08754368237167642,0.0,0.0,0,True,False,False,1761322450.2442915
35,103,-0.03608339659909038,-0.0011049530999604695,0.0,0.0,-3.716589849706309,-0.11381016929592835,0.0,0.0,0,False,False,True,1761322451.2732875
36,48,-0.01367833428403338,0.01289805936712049,0.0,0.0,-0.6565600456336023,0.6191068496217835,0.0,0.0,0,False,False,True,1761322544.2748613
37,126,-0.020065553704970995,0.007931981804288278,0.0,-0.06818534974060693,-2.5282597668263453,0.999429707340323,0.0,-8.591354067316473,0,True,False,False,1761322545.591376
