episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at,pid,agent
1,52,-0.0398708542591066,-0.0046519594975422,-0.1153846153846153,-0.1977510289599186,-2.073284421473548,-0.2419018938721979,-6.0,-10.28305350591577,7,False,True,1761556759.9820983,pid_20896,KL001
1,47,-0.0200316683520776,0.0104338900035837,0.0,0.0,-0.9414884125476496,0.4903928301684367,0.0,0.0,0,False,True,1761556759.9907956,pid_17832,KL004
1,52,-0.0081507062468662,0.0552762155220496,-0.1153846153846153,-0.3186516946279908,-0.4238367248370424,2.874363207146583,-6.0,-16.569888120655524,10,True,False,1761556760.0017982,pid_11976,KL003
1,58,-0.0127282067698452,0.0134030075819384,0.0,-0.177294025964065,-0.7382359926510217,0.7773744397524284,0.0,-10.28305350591577,7,False,True,1761556760.0218046,pid_20896,KL005
1,53,-0.0319035581346716,0.000153251334663,0.0,-1.0810313386252246,-1.6908885811375955,0.0081223207371439,0.0,-57.2946609471369,0,False,True,1761556760.0399008,pid_31476,KL003
1,59,-0.0396600718808851,-0.0047443581536681,0.0,0.0,-2.339944240972225,-0.2799171310664192,0.0,0.0,0,False,True,1761556760.0549314,pid_32148,KL002
1,59,-0.0348324716344012,-0.000697484387987,0.0,-0.6825193822451439,-2.055115826429672,-0.0411515788912337,0.0,-40.26864355246349,22,False,True,1761556760.0654504,pid_31336,KL003
1,62,-0.0179985104784932,0.0100655923503642,0.0,0.0,-1.1159076496665787,0.6240667257225818,0.0,0.0,0,False,True,1761556760.076396,pid_31396,KL001
1,61,-0.02554291857849,0.0054046145411829,0.0,-0.3494264190478872,-1.5581180332878943,0.329681487012158,0.0,-21.31501156192112,14,False,True,1761556760.0887096,pid_23240,KL006
1,64,-0.0339231545386856,-0.0007690024576017,-0.09375,-0.3573643388151404,-2.171081890475881,-0.0492161572865097,-6.0,-22.871317684168982,4,False,True,1761556760.0977254,pid_32044,KL002
1,62,-0.0358802586856262,-0.0021543563016694,-0.0967741935483871,-0.0938651930680091,-2.2245760385088262,-0.1335700907035054,-6.0,-5.819641970216566,5,False,True,1761556760.103729,pid_17832,KL002
1,62,-0.025296655205876,0.0043322351984429,-0.0967741935483871,-0.8963777334546725,-1.5683926227643163,0.2685985823034615,-6.0,-55.575419474189694,2,False,True,1761556760.1172483,pid_31476,KL001
1,65,-0.0136220452461732,0.0127109144432901,-0.0923076923076923,-0.2571575280256906,-0.8854329410012628,0.8262094388138614,-6.0,-16.715239321669888,4,False,True,1761556760.1172483,pid_28052,KL002
1,62,-0.0324207187973709,-0.0003610369244994,0.0,-0.7719990502281563,-2.010084565437,-0.0223842893189689,0.0,-47.86394111414569,0,False,True,1761556760.1182487,pid_29092,KL001
1,72,-0.0394188531059846,-0.0028109390678316,0.0,0.0,-2.838157423630894,-0.202387612883878,0.0,0.0,0,False,True,1761556760.1192486,pid_13252,KL005
1,76,-0.0291280410488405,0.0020421023388343,0.0,-0.2029690271801481,-2.213731119711882,0.155199777751408,0.0,-15.42564606569126,0,False,True,1761556760.154569,pid_32148,KL006
1,70,-0.0400533620133247,-0.0055293672173301,0.0,0.0,-2.8037353409327297,-0.3870557052131096,0.0,0.0,0,False,True,1761556760.1610816,pid_28052,KL003
1,76,-0.0356773809888859,-0.0014110296936544,-0.0789473684210526,-0.1356272926235634,-2.7114809551553285,-0.1072382567177396,-6.0,-10.30767423939082,4,False,True,1761556760.1832025,pid_36264,KL002
1,77,-0.0334863203711225,-0.0004793017471967,0.0,-0.1742354784219209,-2.5784466685764325,-0.0369062345341482,0.0,-13.41613183848791,0,False,True,1761556760.197713,pid_32044,KL004
1,74,-0.0305973762287997,0.0006227959725508,-0.081081081081081,-0.2212111700926861,-2.2642058409311843,0.0460869019687633,-6.0,-16.36962658685877,15,False,True,1761556760.204281,pid_5208,KL002
1,81,-0.014989514169993,0.0125745465040281,-0.1481481481481481,-0.8141176130167755,-1.2141506477694346,1.018538266826282,-12.0,-65.94352665435882,30,False,True,1761556760.256255,pid_5208,KL003
1,105,-0.0309812028098176,0.0001160904340755,0.0,0.0,-3.2530262950308577,0.0121894955779329,0.0,0.0,0,False,True,1761556760.2827828,pid_11220,KL004
1,87,-0.0086841249422604,0.0380890820467766,0.0,-0.1904584841454658,-0.7555188699766586,3.313750138069568,0.0,-16.569888120655524,10,True,False,1761556760.285649,pid_11976,KL006
1,87,-0.0248142334907445,0.0057086335344542,0.0,-0.1881566274351583,-2.1588383136947757,0.4966511174975181,0.0,-16.36962658685877,15,False,True,1761556760.300243,pid_5208,KL005
1,94,-0.0204029664685174,0.0092129513314482,-0.1276595744680851,-0.7506171847047763,-1.9178788480406408,0.8660174251561383,-12.0,-70.55801536224898,8,False,True,1761556760.3032465,pid_13252,KL002
1,95,-0.0287456564463196,0.00255408270981,0.0,-0.0921526419360191,-2.730837362400369,0.2426378574319592,0.0,-8.754500983921815,0,False,True,1761556760.3292882,pid_32044,KL001
1,95,-0.0318582290329755,0.000896769418741,0.0,-0.2824716178992366,-3.0265317581326774,0.0851930947804024,0.0,-26.834803700427475,10,False,True,1761556760.3292882,pid_32044,KL006
1,110,-0.0417634587596702,-0.0053168592478579,0.0,0.0,-4.593980463563727,-0.5848545172643695,0.0,0.0,0,False,True,1761556760.3312864,pid_32148,KL003
